email,title,category,owner_id,owner_name,street,city,postal_code,country,has_wheelchair_accessible_parking,address,website,phone,link,clean_link
contact@jaocreation.fr,JAO COMMUNICATION - Agence Web & Wordpress Lyon 6,Concepteur de sites Web,109890414426084503481,JAO COMMUNICATION - Agence Web & Wordpress Lyon 6,137 Rue Bugeaud,Lyon,69006,FR,Non,"137 Rue Bugeaud, 69006 Lyon",https://www.jaocreation.fr/,06 63 82 38 60,https://www.google.com/maps/place/JAO+COMMUNICATION+-+Agence+Web+%26+Wordpress+Lyon+6/data=!4m7!3m6!1s0x47f4ea8bfd7072db:0x5139327cae6d6a45!8m2!3d45.7672539!4d4.85587!16s%2Fg%2F1tdkr45y!19sChIJ23Jw_Yvq9EcRRWptrnwyOVE?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/JAO+COMMUNICATION+-+Agence+Web+%26+Wordpress+Lyon+6/data=!4m7!3m6!1s0x47f4ea8bfd7072db:0x5139327cae6d6a45!8m2!3d45.7672539!4d4.85587!16s%2Fg%2F1tdkr45y!19sChIJ23Jw_Yvq9EcRRWptrnwyOVE
contact@agence-wam.fr,Agence WAM - Digital Brand Authority,Service de marketing Internet,110651168600656672145,Agence WAM - Digital Brand Authority,55 ter Av. René Cassin,Lyon,69009,FR,Oui,"55 ter Av. René Cassin, 69009 Lyon",https://agence-wam.fr/,04 78 14 50 09,https://www.google.com/maps/place/Agence+WAM+-+Digital+Brand+Authority/data=!4m7!3m6!1s0x47f4ea5e5a5bbee5:0xca90b0a91964d312!8m2!3d45.7684459!4d4.807248!16s%2Fg%2F12ht22dyg!19sChIJ5b5bWl7q9EcREtNkGamwkMo?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/Agence+WAM+-+Digital+Brand+Authority/data=!4m7!3m6!1s0x47f4ea5e5a5bbee5:0xca90b0a91964d312!8m2!3d45.7684459!4d4.807248!16s%2Fg%2F12ht22dyg!19sChIJ5b5bWl7q9EcREtNkGamwkMo
hello@yumens.fr,Yumens,Service de marketing Internet,103612625736941544441,Yumens,8 Av. Tony Garnier,Lyon,69007,FR,Non,"8 Av. Tony Garnier, 69007 Lyon",https://hubs.la/Q03hYDX50,04 57 70 00 24,https://www.google.com/maps/place/Yumens/data=!4m7!3m6!1s0x47f4eb6aff49635b:0xde12f874c4ab076c!8m2!3d45.7307842!4d4.8233596!16s%2Fg%2F11jv70zrsm!19sChIJW2NJ_2rr9EcRbAerxHT4Et4?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/Yumens/data=!4m7!3m6!1s0x47f4eb6aff49635b:0xde12f874c4ab076c!8m2!3d45.7307842!4d4.8233596!16s%2Fg%2F11jv70zrsm!19sChIJW2NJ_2rr9EcRbAerxHT4Et4
contact@bewizyu.com,BEWIZYU Lyon | Agence Digitale à impact positif,Concepteur de sites Web,,BEWIZYU Lyon | Agence Digitale à impact positif,30 Rue Victor Hugo,Lyon,69002,FR,Non,"30 Rue Victor Hugo, 69002 Lyon",https://www.bewizyu.com/contact,04 72 31 07 66,https://www.google.com/maps/place/BEWIZYU+Lyon+%7C+Agence+Digitale+%C3%A0+impact+positif/data=!4m7!3m6!1s0x47f4eb29ed1c2017:0x1fac6aa50d3e46d6!8m2!3d45.7544086!4d4.8297974!16s%2Fg%2F11h3fs3c2f!19sChIJFyAc7Snr9EcR1kY-DaVqrB8?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/BEWIZYU+Lyon+%7C+Agence+Digitale+%C3%A0+impact+positif/data=!4m7!3m6!1s0x47f4eb29ed1c2017:0x1fac6aa50d3e46d6!8m2!3d45.7544086!4d4.8297974!16s%2Fg%2F11h3fs3c2f!19sChIJFyAc7Snr9EcR1kY-DaVqrB8
emmanuel.fauveau@webatheart.com,Web at Heart - Agence Web à Lyon,Concepteur de sites Web,104077743737672362186,Web at Heart - Agence Web à Lyon,45 Rue Vaubecour,Lyon,69002,FR,Non,"45 Rue Vaubecour, 69002 Lyon",https://www.webatheart.com/,06 64 10 88 76,https://www.google.com/maps/place/Web+at+Heart+-+Agence+Web+%C3%A0+Lyon/data=!4m7!3m6!1s0x47f4ebca8e440001:0xba41ed49e47c4888!8m2!3d45.751729!4d4.824895!16s%2Fg%2F11g8v3hy0g!19sChIJAQBEjsrr9EcRiEh85EntQbo?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/Web+at+Heart+-+Agence+Web+%C3%A0+Lyon/data=!4m7!3m6!1s0x47f4ebca8e440001:0xba41ed49e47c4888!8m2!3d45.751729!4d4.824895!16s%2Fg%2F11g8v3hy0g!19sChIJAQBEjsrr9EcRiEh85EntQbo
contact@dioqa.com,Agence web DIOQA Lyon - Conception de site web / Développement / Référencement,Concepteur de sites Web,107222210949249416762,Agence web DIOQA Lyon - Conception de site web / Développement / Référencement,139 Rue Vendôme,Lyon,69006,FR,Oui,"139 Rue Vendôme, 69006 Lyon",https://www.dioqa.com/,09 72 46 14 54,https://www.google.com/maps/place/Agence+web+DIOQA+Lyon+-+Conception+de+site+web+%2F+D%C3%A9veloppement+%2F+R%C3%A9f%C3%A9rencement/data=!4m7!3m6!1s0x47f4ea83eb37372b:0xa69de8411d2b0307!8m2!3d45.764737!4d4.8463058!16s%2Fg%2F11f3s544p_!19sChIJKzc364Pq9EcRBwMrHUHonaY?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/Agence+web+DIOQA+Lyon+-+Conception+de+site+web+%2F+D%C3%A9veloppement+%2F+R%C3%A9f%C3%A9rencement/data=!4m7!3m6!1s0x47f4ea83eb37372b:0xa69de8411d2b0307!8m2!3d45.764737!4d4.8463058!16s%2Fg%2F11f3s544p_!19sChIJKzc364Pq9EcRBwMrHUHonaY
contact@creation-site-webm.fr,Antoine WEBM - Création de sites internet et référencement - Agence Web,Concepteur de sites Web,107943689297267031279,Antoine WEBM - Création de sites internet et référencement - Agence Web,11 Rue Centrale,Craponne,69290,FR,Oui,"11 Rue Centrale, 69290 Craponne",http://creation-site-webm.fr/,06 51 22 71 18,https://www.google.com/maps/place/Antoine+WEBM+-+Cr%C3%A9ation+de+sites+internet+et+r%C3%A9f%C3%A9rencement+-+Agence+Web/data=!4m7!3m6!1s0x2d61104ba7b7b777:0xc5117bad2ab99304!8m2!3d45.7457055!4d4.7263265!16s%2Fg%2F11pcn_7pn9!19sChIJd7e3p0sQYS0RBJO5Kq17EcU?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/Antoine+WEBM+-+Cr%C3%A9ation+de+sites+internet+et+r%C3%A9f%C3%A9rencement+-+Agence+Web/data=!4m7!3m6!1s0x2d61104ba7b7b777:0xc5117bad2ab99304!8m2!3d45.7457055!4d4.7263265!16s%2Fg%2F11pcn_7pn9!19sChIJd7e3p0sQYS0RBJO5Kq17EcU
hello@lkn-design.com,Agence digitale LK'N,Concepteur de sites Web,118243597142069576803,Agence digitale LK'N,54 Rue des Martyrs,Saint-Genis-Laval,69230,FR,Oui,"54 Rue des Martyrs, 69230 Saint-Genis-Laval",https://www.lkn-design.com/,06 52 84 88 83,https://www.google.com/maps/place/Agence+digitale+LK%27N/data=!4m7!3m6!1s0x47f4c19d3eb8ff7b:0x5ec337391f2d8916!8m2!3d45.6969486!4d4.7870509!16s%2Fg%2F119tn1sw_!19sChIJe_-4Pp3B9EcRFoktHzk3w14?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/Agence+digitale+LK%27N/data=!4m7!3m6!1s0x47f4c19d3eb8ff7b:0x5ec337391f2d8916!8m2!3d45.6969486!4d4.7870509!16s%2Fg%2F119tn1sw_!19sChIJe_-4Pp3B9EcRFoktHzk3w14
hello@blackbirdee.fr,BLACKBIRDEE • Collectif de créations web humain & indépendant,Concepteur de sites Web,112743415580875552762,BLACKBIRDEE • Collectif de créations web humain & indépendant,5 Rue Capitaine Robert Cluzan,Lyon,69007,FR,Non,"5 Rue Capitaine Robert Cluzan, 69007 Lyon",https://blackbirdee.fr/,06 63 09 98 89,https://www.google.com/maps/place/BLACKBIRDEE+%E2%80%A2+Collectif+de+cr%C3%A9ations+web+humain+%26+ind%C3%A9pendant/data=!4m7!3m6!1s0x47f4ea6962500001:0x43fd4dc936b87692!8m2!3d45.7526078!4d4.8431068!16s%2Fg%2F11h4mwcxtz!19sChIJAQBQYmnq9EcRkna4NslN_UM?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/BLACKBIRDEE+%E2%80%A2+Collectif+de+cr%C3%A9ations+web+humain+%26+ind%C3%A9pendant/data=!4m7!3m6!1s0x47f4ea6962500001:0x43fd4dc936b87692!8m2!3d45.7526078!4d4.8431068!16s%2Fg%2F11h4mwcxtz!19sChIJAQBQYmnq9EcRkna4NslN_UM
stephane.senot@linkeo.com,Agence Web Linkeo Clermont-Ferrand,Concepteur de sites Web,103076654751527796596,Agence Web Linkeo Clermont-Ferrand,3 All. Pierre de Fermat,Aubière,63170,FR,Oui,"3 All. Pierre de Fermat, 63170 Aubière",https://www.linkeo-clermont.com/,09 74 56 63 63,https://www.google.com/maps/place/Agence+Web+Linkeo+Clermont-Ferrand/data=!4m7!3m6!1s0x47f71c48418184dd:0x24e194ca57fdc31d!8m2!3d45.7603678!4d3.1347091!16s%2Fg%2F11f1pfr92j!19sChIJ3YSBQUgc90cRHcP9V8qU4SQ?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/Agence+Web+Linkeo+Clermont-Ferrand/data=!4m7!3m6!1s0x47f71c48418184dd:0x24e194ca57fdc31d!8m2!3d45.7603678!4d3.1347091!16s%2Fg%2F11f1pfr92j!19sChIJ3YSBQUgc90cRHcP9V8qU4SQ
